Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
14,280.0,0.1,1.37,D30,New,Middle,16,1.34,7.43,1.68,10.64,95.0
15,280.0,0.1,0.95,D30,New,Middle,16,1.28,7.08,1.58,7.93,95.0
16,280.0,0.1,0.95,D30,New,Middle,16,1.12,6.17,1.37,7.12,87.0
17,280.0,0.1,0.95,D30,New,Middle,16,1.14,6.06,1.4,6.96,88.0
1,220.0,0.08,0.7,D30,New,Middle,17,1.05,6.77,1.36,9.58,75.0
2,340.0,0.08,0.7,D30,New,Middle,17,0.97,5.58,1.21,6.26,80.0
3,220.0,0.12,0.7,D30,New,Middle,17,1.42,6.16,1.64,7.13,117.0
4,340.0,0.12,0.7,D30,New,Middle,17,1.49,7.24,1.76,8.1,117.0
5,220.0,0.08,1.2,D30,New,Middle,17,1.42,9.36,1.92,12.68,69.0
6,340.0,0.08,1.2,D30,New,Middle,17,1.29,7.34,1.65,9.57,72.0
7,220.0,0.12,1.2,D30,New,Middle,17,1.46,6.92,1.76,7.64,118.0
8,340.0,0.12,1.2,D30,New,Middle,17,1.6,7.94,1.91,9.23,119.0
9,179.09,0.1,0.95,D30,New,Middle,17,1.24,6.5,1.52,7.39,95.0
10,380.91,0.1,0.95,D30,New,Middle,17,1.65,10.02,2.1,12.26,88.0
11,280.0,0.07,0.95,D30,New,Middle,17,1.86,8.83,2.22,10.73,133.0
12,280.0,0.13,0.95,D30,New,Middle,17,1.82,9.96,2.23,11.27,120.0
13,280.0,0.1,0.53,D30,New,Middle,17,1.13,6.0,1.37,6.65,93.0
14,280.0,0.1,1.37,D30,New,Middle,17,1.26,7.48,1.58,10.27,91.0
15,280.0,0.1,0.95,D30,New,Middle,17,1.24,7.01,1.55,8.83,95.0
16,280.0,0.1,0.95,D30,New,Middle,17,1.06,5.56,1.3,6.26,93.0
17,280.0,0.1,0.95,D30,New,Middle,17,1.15,6.1,1.41,6.93,88.0
1,220.0,0.08,0.7,D30,New,Middle,18,1.01,6.14,1.29,7.9,83.0
2,340.0,0.08,0.7,D30,New,Middle,18,0.95,4.89,1.17,5.76,80.0
3,220.0,0.12,0.7,D30,New,Middle,18,1.42,6.72,1.66,7.62,102.0
4,340.0,0.12,0.7,D30,New,Middle,18,1.51,7.32,1.8,8.56,115.0
5,220.0,0.08,1.2,D30,New,Middle,18,1.72,10.81,2.24,17.18,77.0
6,340.0,0.08,1.2,D30,New,Middle,18,1.27,7.54,1.63,8.52,78.0
7,220.0,0.12,1.2,D30,New,Middle,18,1.62,7.94,1.95,9.25,117.0
8,340.0,0.12,1.2,D30,New,Middle,18,1.52,7.59,1.85,8.26,118.0
9,179.09,0.1,0.95,D30,New,Middle,18,1.28,7.35,1.6,9.39,89.0
10,380.91,0.1,0.95,D30,New,Middle,18,1.4,8.13,1.75,10.57,94.0
11,280.0,0.07,0.95,D30,New,Middle,18,2.09,9.43,2.48,10.73,147.0
12,280.0,0.13,0.95,D30,New,Middle,18,1.52,8.97,1.93,13.28,124.0
