Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
9,179.09,0.10,0.95,D30,New,CE,Run 13,1.33,8.44,7.22,1.65,8.44,90.00
10,380.91,0.10,0.95,D30,New,CE,Run 13,1.72,12.77,10.16,2.17,12.77,97.00
11,280.00,0.07,0.95,D30,New,CE,Run 13,1.69,10.38,7.89,2.00,10.38,135.00
12,280.00,0.13,0.95,D30,New,CE,Run 13,1.45,8.04,7.49,1.76,8.47,124.00
13,280.00,0.10,0.53,D30,New,CE,Run 13,1.04,5.84,5.34,1.28,5.85,99.00
14,280.00,0.10,1.37,D30,New,CE,Run 13,1.35,9.98,7.01,1.68,9.98,94.00
15,280.00,0.10,0.95,D30,New,CE,Run 13,1.24,10.64,6.75,1.51,10.64,83.00
16,280.00,0.10,0.95,D30,New,CE,Run 13,1.19,6.74,6.28,1.45,6.88,91.00
17,280.00,0.10,0.95,D30,New,CE,Run 13,1.15,7.16,6.41,1.42,7.16,82.00
1,220.00,0.08,0.70,D30,New,CE,Run 14,1.01,7.75,6.26,1.27,7.75,76.00
2,340.00,0.08,0.70,D30,New,CE,Run 14,0.97,5.95,5.37,1.21,8.32,84.00
3,220.00,0.12,0.70,D30,New,CE,Run 14,1.41,7.35,6.20,1.63,7.44,115.00
4,340.00,0.12,0.70,D30,New,CE,Run 14,1.48,7.79,6.95,1.73,7.79,119.00
5,220.00,0.08,1.20,D30,New,CE,Run 14,1.28,13.02,8.04,1.66,13.02,75.00
6,340.00,0.08,1.20,D30,New,CE,Run 14,1.71,11.12,9.21,2.12,11.12,79.00
7,220.00,0.12,1.20,D30,New,CE,Run 14,1.52,7.97,7.32,1.84,8.11,119.00
8,340.00,0.12,1.20,D30,New,CE,Run 14,1.54,7.90,7.09,1.85,8.01,124.00
9,179.09,0.10,0.95,D30,New,CE,Run 14,1.37,8.96,8.06,1.71,8.96,91.00
10,380.91,0.10,0.95,D30,New,CE,Run 14,1.59,14.99,10.69,2.07,14.99,96.00
11,280.00,0.07,0.95,D30,New,CE,Run 14,2.21,11.30,10.35,2.62,11.53,150.00
12,280.00,0.13,0.95,D30,New,CE,Run 14,1.64,13.16,10.26,2.07,13.22,128.00
13,280.00,0.10,0.53,D30,New,CE,Run 14,1.04,6.44,5.31,1.27,6.66,98.00
14,280.00,0.10,1.37,D30,New,CE,Run 14,1.21,8.49,7.05,1.50,9.05,95.00
15,280.00,0.10,0.95,D30,New,CE,Run 14,1.15,6.30,5.88,1.40,6.60,91.00
16,280.00,0.10,0.95,D30,New,CE,Run 14,1.15,6.77,6.00,1.41,6.77,85.00
17,280.00,0.10,0.95,D30,New,CE,Run 14,1.16,7.91,6.65,1.43,8.65,91.00
1,220.00,0.08,0.70,D30,New,CE,Run 15,0.99,9.73,6.67,1.31,9.81,78.00
2,340.00,0.08,0.70,D30,New,CE,Run 15,1.69,8.36,7.15,1.98,8.51,119.00
3,220.00,0.12,0.70,D30,New,CE,Run 15,1.43,6.96,6.39,1.66,6.97,116.00
4,340.00,0.12,0.70,D30,New,CE,Run 15,1.50,7.47,7.23,1.76,7.88,119.00
5,220.00,0.08,1.20,D30,New,CE,Run 15,1.04,8.83,7.25,1.39,8.94,76.00
6,340.00,0.08,1.20,D30,New,CE,Run 15,1.45,8.61,7.65,1.79,9.01,79.00
7,220.00,0.12,1.20,D30,New,CE,Run 15,1.58,9.52,8.01,1.92,9.99,119.00
8,340.00,0.12,1.20,D30,New,CE,Run 15,1.58,8.02,7.35,1.88,8.08,124.00
9,179.09,0.10,0.95,D30,New,CE,Run 15,1.34,9.04,7.57,1.68,9.04,87.00
10,380.91,0.10,0.95,D30,New,CE,Run 15,1.57,11.02,8.58,1.95,11.02,87.00
11,280.00,0.07,0.95,D30,New,CE,Run 15,2.42,13.60,11.79,2.91,13.60,160.00
12,280.00,0.13,0.95,D30,New,CE,Run 15,1.59,10.36,8.16,1.93,8.75,125.00
13,280.00,0.10,0.53,D30,New,CE,Run 15,1.07,6.36,5.53,1.31,6.36,94.00
14,280.00,0.10,1.37,D30,New,CE,Run 15,1.62,13.96,11.18,2.19,14.24,93.00
15,280.00,0.10,0.95,D30,New,CE,Run 15,1.24,7.07,6.08,1.49,7.16,98.00
16,280.00,0.10,0.95,D30,New,CE,Run 15,1.36,10.48,7.39,1.71,10.48,91.00
17,280.00,0.10,0.95,D30,New,CE,Run 15,1.12,6.42,6.10,1.38,6.65,82.00
1,220.00,0.08,0.70,D30,New,CE,Run 16,0.90,7.30,5.76,1.14,7.76,80.00
2,340.00,0.08,0.70,D30,New,CE,Run 16,0.97,5.63,5.11,1.18,5.65,84.00
3,220.00,0.12,0.70,D30,New,CE,Run 16,1.42,6.79,6.37,1.65,6.95,119.00
4,340.00,0.12,0.70,D30,New,CE,Run 16,1.55,7.95,7.53,1.83,8.50,119.00
5,220.00,0.08,1.20,D30,New,CE,Run 16,1.40,10.52,9.00,1.81,10.89,73.00
6,340.00,0.08,1.20,D30,New,CE,Run 16,1.62,12.01,9.07,2.03,12.01,71.00
7,220.00,0.12,1.20,D30,New,CE,Run 16,1.56,8.04,7.69,1.89,8.77,114.00
8,340.00,0.12,1.20,D30,New,CE,Run 16,1.52,7.52,7.21,1.81,7.83,115.00
9,179.09,0.10,0.95,D30,New,CE,Run 16,1.23,8.89,6.91,1.51,8.89,95.00
10,380.91,0.10,0.95,D30,New,CE,Run 16,1.56,12.47,9.60,2.01,13.69,98.00
